Tweet,Sentiment
"#Tripletalaq is a matter of #genderequality, #Sabarimala is #tradition  ...  https://t.co/GWcq3l9d7Y",neutral
"Find low-cost solutions to help farmers: Narendra Modi
https://t.co/V1SJIKiWzl

via NaMo App https://t.co/MZ7m1D8ehN",neutral
Here is the message to Shri @Narendramodi ji from Sri P.V.Chalapathi Rao garu senior BJP leader whom PM Narendra Mo https://t.co/qZtxTahojn,neutral
Find low-cost solutions to help farmers: Narendra Modi https://t.co/ueKbI5wb2m #bjpnewstrack,neutral
Barkha Dutt says Narendra Modi has a problem or two. Actually four. https://t.co/ov1wDs4ugj via @ThePrintIndia,neutral
@UNHumanRights @hrw he is a minister in Narendra Modi govt and indulges in full on hate mongering against Muslims. https://t.co/pp0pWVTfPj,neutral
"@byadavbjp @narendramodi Sir, common man also knows the fact that even in this life, if 10 Rahul Gandhis summed up https://t.co/I8dUbzFEXy",neutral
"PM Modis vision is to promote ease of living through ease of doing science 
 https://t.co/2SMpBWyWAY

via NaMo https://t.co/4zeV8XXC6i",neutral
I am Proud of my Leader Honble Prime Minister Narendra Modi ji for  Jay Anushandhan(Research)by Professors/Scientis https://t.co/WH9OLJVdRQ,neutral
Ramnagar: Prime Minister Narendra Modi is felicitated by BJP State... - https://t.co/sX5E3yPUsV https://t.co/gaqlWMe4zg,neutral
"Vivek Oberoi to play Narendra Modi in his biopic, I guess that was the only way Vivek Oberoi now gets to travel to exotic location.",neutral
I invite you to join Nation with NaMo - India largest volunteer network of professionals who will campaign for Shr https://t.co/ZeYYBeZEAx,neutral
"Sh. Narendra Modi Ji, Again Rahul Gandhi blink their eyes. This is a politics game or what?? @narendramodi",negative
"Find low-cost solutions to help farmers: Narendra Modi
 https://t.co/25bGlCtvCj

via NaMo App https://t.co/DXyWTEdLoE",neutral
Shashi Tharoor PM is Mr Narendra Modi ji. Your PM is our ex-PM.,neutral
Shri Narendra Modi Prime Minister of India has created a very good platform  MyGov to involve public to share  thei https://t.co/69jYqXwBUo,positive
"A biopic on @narendramodi to come soon, stars @vivekoberoi

https://t.co/A6Q6fFCs32",neutral
"Wedding card asks vote for PM Narendra Modi in 2019 elections as gift. Invite goes viral
 https://t.co/eaU6LIWqGM https://t.co/9XlQgON6F1",neutral
Narendra Modi Worst Leader India Has Seen Since Independence: Amarinder Singh via @nc24x7 https://t.co/Ra6gnbabme,neutral
"#black flags ban in narendra modi rally see this news
https://t.co/SXyolgAc9h",neutral
